NUMERO,NURAND,NOMBRE,TEXTO,@PRIMERA,@EXTRA 1,@EXTRA 2,@EXTRA 3,@DIBUJOS
24,53,HiTbLi-HiPaLi-HiPd,Eme de hierro con forma de tubo y con textura lisa. Maza de hierro con forma de palo y con textura lisa. Apoyado en pedestal de hierro.,E:\MMMMMMMM\PRIMERAS\emes24.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes100.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes101.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes102.jpg,E:\MMMMMMMM\DIBUJOS\24.png
25,46,TcVj(EsLi)-X-Tc8Rd,Eme de terracota con forma de vasija y con textura lisa aplicada con esmalte. Sin maza. Apoyado en 8 patas radiales de terracota.,E:\MMMMMMMM\PRIMERAS\emes25.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes106.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes105.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes107.jpg,E:\MMMMMMMM\DIBUJOS\25.png
26,23,LjPlnAs-MdCy(LjAs)-CtPd,Eme de lija con forma plana y con textura áspera. Maza de madera con forma de cilindro y con textura áspera aplicada con lija. Apoyado en pedestal de cartón.,E:\MMMMMMMM\PRIMERAS\emes26.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes114.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes112.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes110.jpg,E:\MMMMMMMM\DIBUJOS\26.png
27,79,LdAg(PlGr)-X-Cnt,Eme de ladrillo con forma de agujero y con textura grumosa aplicada con plástico. Sin maza. Apoyado en base continua de ladrillo.,E:\MMMMMMMM\PRIMERAS\emes27.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes119.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes116.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes118.jpg,E:\MMMMMMMM\DIBUJOS\27.png
28,61,EbHdPo-X-Al4Fs,Eme de espuma blanda con forma de hendidura y con textura porosa. Sin maza. Apoyado en 4 patas fasciculadas de aluminio.,E:\MMMMMMMM\PRIMERAS\emes28.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes124.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes123.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes121.jpg,E:\MMMMMMMM\DIBUJOS\28.png
29,11,PlVsLi-X-Pl4Cz,Eme de plástico con forma de vaso y con textura lisa. Sin maza. Apoyado en cruz de plástico.,E:\MMMMMMMM\PRIMERAS\emes29.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes125.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes126.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes127.jpg,E:\MMMMMMMM\DIBUJOS\29.png
30,105,PlHdLi-X-Pv4Fs,Eme de plástico con forma de hendidura y con textura lisa. Sin maza. Apoyado en 4 patas fasciculadas de pvc.,E:\MMMMMMMM\PRIMERAS\emes30.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes130.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes129.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes128.jpg,E:\MMMMMMMM\DIBUJOS\30.png
31,43,PlVsLi-X-Hi4Rd,Eme de plástico con forma de vaso y con textura lisa. Sin maza. Apoyado en 4 patas radiales de hierro.,E:\MMMMMMMM\PRIMERAS\emes31.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes132.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes133.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes134.jpg,E:\MMMMMMMM\DIBUJOS\31.png
32,29,PlVsLi-X-PlLm,Eme de plástico con forma de vaso y con textura lisa. Sin maza. Apoyado en lámina de plástico.,E:\MMMMMMMM\PRIMERAS\emes32.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes135.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes136.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes137.jpg,E:\MMMMMMMM\DIBUJOS\32.png
33,93,BtCcEt-BtCxEt-BtCnt,Eme de botella con forma cóncava y con textura estriada. Maza de botella con forma convexa y con textura estriada. Apoyado en base continua de botella.,E:\MMMMMMMM\PRIMERAS\emes33.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes143.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes142.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes141.jpg,E:\MMMMMMMM\DIBUJOS\33.png
34,92,PlVsLi-X-AlPd,Eme de plástico con forma de vaso y con textura lisa. Sin maza. Apoyado en pedestal de aluminio.,E:\MMMMMMMM\PRIMERAS\emes34.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes149.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes150.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes151.jpg,E:\MMMMMMMM\DIBUJOS\34.png
35,82,PiVsLi-X-Hi3Fs,Eme de piedra con forma de vaso y con textura lisa. Sin maza. Apoyado en 3 patas fasciculadas de hierro.,E:\MMMMMMMM\PRIMERAS\emes35.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes156.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes154.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes155.jpg,E:\MMMMMMMM\DIBUJOS\35.png
